Red,Green,Blue
0.462,0.282,0.256
0.447,0.289,0.263
0.439,0.293,0.268
0.439,0.293,0.268
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.442,0.279,0.279
0.452,0.286,0.262
0.439,0.293,0.268
0.436,0.282,0.282
0.436,0.282,0.282
0.439,0.293,0.268
0.439,0.293,0.268
0.439,0.293,0.268
0.439,0.293,0.268
0.439,0.293,0.268
0.436,0.282,0.282
0.436,0.282,0.282
0.439,0.293,0.268
0.436,0.282,0.282
0.439,0.293,0.268
0.436,0.282,0.282
0.439,0.293,0.268
0.439,0.293,0.268
0.436,0.282,0.282
0.436,0.282,0.282
0.447,0.289,0.263
0.439,0.293,0.268
0.452,0.286,0.262
0.444,0.289,0.267
0.444,0.289,0.267
0.442,0.279,0.279
0.442,0.279,0.279
0.452,0.286,0.262
0.442,0.279,0.279
0.442,0.279,0.279
0.452,0.286,0.262
0.436,0.282,0.282
0.432,0.297,0.270
0.424,0.303,0.273
0.433,0.300,0.267
0.429,0.286,0.286
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.472,0.306,0.222
0.486,0.286,0.229
0.472,0.306,0.222
0.486,0.286,0.229
0.484,0.290,0.226
0.452,0.290,0.258
0.423,0.308,0.269
0.444,0.296,0.259
0.444,0.296,0.259
0.464,0.286,0.250
0.452,0.290,0.258
0.441,0.294,0.265
0.441,0.294,0.265
0.441,0.294,0.265
0.441,0.294,0.265
0.429,0.286,0.286
0.444,0.278,0.278
0.432,0.297,0.270
0.436,0.282,0.282
0.439,0.293,0.268
0.452,0.286,0.262
0.442,0.279,0.279
0.442,0.279,0.279
0.444,0.289,0.267
0.442,0.279,0.279
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.442,0.279,0.279
0.452,0.286,0.262
0.439,0.293,0.268
0.436,0.282,0.282
0.429,0.286,0.286
0.433,0.300,0.267
0.414,0.310,0.276
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.419,0.290,0.290
0.429,0.286,0.286
0.435,0.283,0.283
0.425,0.300,0.275
0.432,0.297,0.270
0.432,0.297,0.270
0.424,0.303,0.273
0.419,0.323,0.258
0.424,0.303,0.273
0.432,0.297,0.270
0.457,0.286,0.257
0.457,0.286,0.257
0.457,0.286,0.257
0.472,0.278,0.250
0.474,0.289,0.237
0.472,0.278,0.250
0.459,0.297,0.243
0.471,0.294,0.235
0.471,0.294,0.235
0.455,0.303,0.242
0.452,0.290,0.258
0.433,0.300,0.267
0.400,0.320,0.280
0.409,0.318,0.273
