Red,Green,Blue
0.455,0.303,0.242
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.455,0.303,0.242
0.452,0.323,0.226
0.455,0.303,0.242
0.480,0.320,0.200
0.490,0.314,0.196
0.475,0.300,0.225
0.472,0.306,0.222
0.457,0.314,0.229
0.457,0.314,0.229
0.441,0.324,0.235
0.457,0.314,0.229
0.457,0.314,0.229
0.457,0.314,0.229
0.444,0.333,0.222
0.444,0.333,0.222
0.441,0.324,0.235
0.429,0.343,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.457,0.314,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.429,0.343,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.457,0.314,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.457,0.314,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.444,0.333,0.222
0.457,0.314,0.229
0.457,0.314,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.457,0.314,0.229
0.457,0.314,0.229
0.441,0.324,0.235
0.429,0.343,0.229
0.424,0.333,0.242
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.429,0.343,0.229
0.441,0.324,0.235
0.444,0.333,0.222
0.429,0.343,0.229
0.444,0.333,0.222
0.457,0.314,0.229
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.459,0.324,0.216
0.444,0.333,0.222
0.459,0.324,0.216
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.436,0.333,0.231
0.459,0.324,0.216
0.455,0.341,0.205
0.467,0.333,0.200
0.469,0.327,0.204
0.469,0.327,0.204
0.471,0.333,0.196
0.462,0.327,0.212
0.471,0.333,0.196
0.472,0.321,0.208
0.481,0.327,0.192
0.474,0.333,0.193
0.475,0.328,0.197
0.492,0.317,0.190
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.484,0.323,0.194
0.484,0.323,0.194
0.492,0.317,0.190
0.484,0.323,0.194
0.484,0.328,0.187
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.492,0.317,0.190
0.492,0.317,0.190
0.484,0.328,0.187
0.484,0.323,0.194
0.484,0.328,0.187
0.492,0.317,0.190
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.492,0.322,0.186
0.483,0.328,0.190
0.473,0.327,0.200
0.463,0.333,0.204
0.472,0.321,0.208
0.469,0.327,0.204
0.471,0.333,0.196
0.458,0.333,0.208
0.452,0.333,0.214
0.444,0.333,0.222
0.429,0.343,0.229
0.429,0.343,0.229
0.424,0.333,0.242
0.429,0.343,0.229
0.424,0.333,0.242
0.424,0.333,0.242
0.412,0.353,0.235
0.429,0.343,0.229
0.429,0.343,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.441,0.324,0.235
0.424,0.333,0.242
0.429,0.343,0.229
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.424,0.333,0.242
0.429,0.343,0.229
0.412,0.353,0.235
0.441,0.324,0.235
0.429,0.343,0.229
0.444,0.333,0.222
0.450,0.325,0.225
0.469,0.327,0.204
0.471,0.333,0.196
0.471,0.333,0.196
0.472,0.321,0.208
0.482,0.321,0.196
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.323,0.194
0.484,0.328,0.187
0.484,0.328,0.187
0.492,0.317,0.190
0.492,0.323,0.185
0.492,0.317,0.190
0.485,0.318,0.197
0.492,0.317,0.190
0.492,0.323,0.185
0.492,0.323,0.185
0.492,0.317,0.190
