Red,Green,Blue
0.579,0.228,0.193
0.571,0.232,0.196
0.571,0.232,0.196
0.579,0.228,0.193
0.571,0.232,0.196
0.579,0.228,0.193
0.593,0.222,0.185
0.579,0.228,0.193
0.579,0.228,0.193
0.593,0.222,0.185
0.579,0.228,0.193
0.593,0.222,0.185
0.582,0.218,0.200
0.593,0.222,0.185
0.574,0.222,0.204
0.585,0.226,0.189
0.585,0.226,0.189
0.585,0.226,0.189
0.585,0.226,0.189
0.593,0.222,0.185
0.593,0.222,0.185
0.593,0.222,0.185
0.593,0.222,0.185
0.593,0.222,0.185
0.582,0.218,0.200
0.582,0.218,0.200
0.582,0.218,0.200
0.579,0.228,0.193
0.582,0.218,0.200
0.579,0.228,0.193
0.589,0.214,0.196
0.586,0.224,0.190
0.579,0.228,0.193
0.579,0.228,0.193
0.586,0.224,0.190
0.579,0.228,0.193
0.586,0.224,0.190
0.579,0.228,0.193
0.579,0.228,0.193
0.589,0.214,0.196
0.579,0.228,0.193
0.579,0.228,0.193
0.579,0.228,0.193
0.586,0.224,0.190
0.586,0.224,0.190
0.586,0.224,0.190
0.579,0.228,0.193
0.582,0.218,0.200
0.593,0.222,0.185
0.579,0.228,0.193
0.571,0.238,0.190
0.570,0.253,0.177
0.564,0.256,0.179
0.575,0.250,0.175
0.575,0.250,0.175
0.575,0.250,0.175
0.575,0.250,0.175
0.570,0.253,0.177
0.573,0.256,0.171
0.575,0.250,0.175
0.573,0.256,0.171
0.575,0.250,0.175
0.580,0.247,0.173
0.575,0.250,0.175
0.580,0.247,0.173
0.580,0.247,0.173
0.580,0.247,0.173
0.571,0.250,0.179
0.580,0.247,0.173
0.585,0.244,0.171
0.580,0.247,0.173
0.571,0.250,0.179
0.576,0.247,0.176
0.571,0.250,0.179
0.576,0.247,0.176
0.585,0.244,0.171
0.580,0.247,0.173
0.580,0.247,0.173
0.580,0.247,0.173
0.575,0.250,0.175
0.575,0.250,0.175
0.580,0.247,0.173
0.575,0.250,0.175
0.578,0.241,0.181
0.580,0.247,0.173
0.580,0.247,0.173
0.575,0.250,0.175
0.577,0.244,0.179
0.575,0.250,0.175
0.571,0.247,0.182
0.575,0.250,0.175
0.575,0.250,0.175
0.577,0.244,0.179
0.577,0.244,0.179
0.571,0.247,0.182
0.577,0.244,0.179
0.571,0.247,0.182
0.570,0.253,0.177
0.571,0.247,0.182
0.579,0.250,0.171
0.573,0.253,0.173
0.568,0.257,0.176
0.571,0.247,0.182
0.573,0.253,0.173
0.571,0.247,0.182
0.571,0.247,0.182
0.577,0.244,0.179
0.579,0.250,0.171
0.575,0.247,0.178
0.569,0.250,0.181
0.565,0.261,0.174
0.557,0.257,0.186
0.567,0.254,0.179
0.567,0.254,0.179
0.561,0.258,0.182
0.568,0.257,0.176
0.575,0.250,0.175
0.576,0.247,0.176
0.580,0.247,0.173
0.576,0.247,0.176
0.578,0.241,0.181
