aX,aY,aZ,gX,gY,gZ
-0.347,-0.101,-2.330,143.860,-40.649,-5.066
-0.399,-0.145,-2.424,155.579,-48.706,-8.118
-0.397,-0.214,-2.483,176.208,-59.509,-14.099
-0.385,-0.254,-2.490,199.951,-74.280,-19.836
-0.382,-0.279,-2.429,221.680,-92.285,-24.841
-0.372,-0.292,-2.300,243.469,-109.314,-30.579
-0.328,-0.312,-2.097,266.235,-120.911,-38.696
-0.254,-0.332,-1.837,288.147,-125.854,-46.509
-0.177,-0.356,-1.541,305.176,-127.380,-52.307
-0.111,-0.376,-1.270,315.491,-126.953,-54.688
-0.059,-0.378,-1.010,318.420,-123.108,-52.551
-0.027,-0.360,-0.771,317.566,-118.958,-48.462
0.003,-0.342,-0.542,314.697,-113.770,-45.715
0.032,-0.332,-0.360,309.814,-104.919,-43.335
0.060,-0.333,-0.250,300.110,-92.163,-38.940
0.084,-0.332,-0.181,287.598,-74.829,-32.898
0.080,-0.317,-0.128,276.245,-55.847,-26.794
0.077,-0.308,-0.075,269.958,-39.795,-22.949
0.084,-0.311,-0.025,264.893,-28.259,-20.264
0.081,-0.294,0.010,258.423,-19.104,-18.921
0.071,-0.267,0.015,252.319,-12.390,-18.188
0.057,-0.259,0.000,245.483,-8.606,-16.479
0.044,-0.253,-0.006,238.831,-8.179,-15.015
0.046,-0.254,-0.007,233.521,-14.221,-14.282
0.058,-0.242,-0.001,227.295,-25.024,-13.733
0.040,-0.165,0.092,217.529,-36.926,-14.282
0.011,-0.142,0.123,218.201,-48.340,-16.663
0.033,-0.120,0.161,223.450,-49.927,-20.569
0.043,-0.096,0.211,228.271,-47.424,-24.597
0.062,-0.045,0.342,232.666,-45.105,-29.297
0.109,0.007,0.495,236.084,-41.931,-32.837
0.170,0.052,0.641,233.826,-44.312,-32.593
0.213,0.116,0.751,226.440,-51.208,-31.860
0.258,0.185,0.887,218.384,-52.124,-33.264
0.312,0.227,1.018,212.708,-47.058,-33.936
0.370,0.248,1.189,206.299,-42.969,-33.020
0.421,0.275,1.395,197.083,-41.321,-30.029
0.449,0.344,1.583,185.303,-44.556,-25.452
0.445,0.415,1.769,172.180,-52.246,-20.142
0.415,0.461,1.963,158.203,-63.477,-15.747
0.380,0.508,2.180,144.470,-74.646,-13.306
0.316,0.565,2.395,129.883,-87.769,-12.756
0.256,0.632,2.541,110.107,-108.276,-12.268
0.210,0.667,2.623,83.984,-130.798,-11.230
0.194,0.693,2.614,53.833,-142.273,-9.949
0.199,0.677,2.483,24.292,-132.568,-7.751
0.203,0.677,2.271,-2.380,-96.375,-5.615
0.217,0.674,2.009,-26.428,-43.518,-3.418
0.209,0.619,1.753,-45.654,7.324,-1.587
0.183,0.591,1.501,-59.387,48.828,-1.831
0.158,0.595,1.266,-70.618,77.515,-0.916
0.146,0.595,1.026,-81.177,86.426,2.625
0.141,0.604,0.835,-90.027,77.942,5.676
0.153,0.621,0.694,-95.886,60.547,6.897
0.172,0.628,0.619,-97.839,43.152,6.165
0.188,0.648,0.579,-95.642,31.494,2.991
0.223,0.661,0.573,-93.262,24.719,0.488
0.258,0.683,0.578,-93.872,21.118,0.610
0.267,0.695,0.566,-96.680,20.386,2.441
0.276,0.705,0.541,-100.281,22.583,4.456
0.286,0.718,0.500,-103.271,27.466,6.165
0.290,0.729,0.455,-105.591,32.104,7.080
0.284,0.744,0.412,-106.812,35.767,7.690
0.286,0.761,0.383,-106.689,39.551,7.202
0.288,0.773,0.359,-105.896,43.274,5.554
0.297,0.777,0.333,-105.835,42.664,5.005
0.308,0.776,0.301,-106.934,38.696,5.493
0.329,0.772,0.277,-108.459,34.302,5.554
0.345,0.770,0.251,-109.924,31.250,6.042
0.357,0.763,0.227,-110.596,30.762,6.287
0.374,0.754,0.198,-110.474,32.349,6.531
0.381,0.746,0.179,-109.497,34.729,7.202
0.388,0.750,0.150,-108.521,36.499,8.484
0.363,0.760,0.109,-107.544,35.645,10.193
0.340,0.771,0.085,-106.201,33.081,10.986
0.341,0.765,0.086,-104.614,28.687,9.399
0.351,0.765,0.086,-104.309,22.095,8.484
0.345,0.767,0.071,-105.957,14.526,9.521
0.333,0.760,0.072,-107.239,11.169,9.705
0.342,0.754,0.064,-107.239,11.902,9.155
0.342,0.750,0.035,-108.154,14.771,9.155
0.338,0.744,0.006,-108.948,20.630,9.155
0.329,0.734,-0.030,-108.154,28.931,9.033
0.314,0.733,-0.068,-105.896,36.499,8.972
0.294,0.735,-0.095,-103.333,40.161,9.094
0.274,0.745,-0.104,-101.868,39.551,8.728
0.261,0.753,-0.116,-101.318,32.104,9.033
0.259,0.750,-0.141,-100.708,20.691,8.606
0.262,0.754,-0.130,-103.210,11.414,7.629
0.272,0.739,-0.122,-107.178,2.502,7.385
0.286,0.730,-0.146,-112.000,-5.981,8.911
