aX,aY,aZ,gX,gY,gZ
-0.886,0.381,1.717,138.489,-1065.918,-79.651
-0.368,0.323,1.833,118.164,-870.178,-122.314
-0.025,0.095,1.648,98.633,-633.850,-138.062
0.156,-0.166,1.558,92.834,-409.302,-116.089
0.401,-0.193,1.525,102.295,-241.638,-64.758
0.288,-0.032,1.500,115.234,-154.724,8.057
-0.125,0.032,1.462,110.352,-123.718,81.055
-0.612,0.141,1.225,86.792,-112.488,118.286
-0.942,0.205,1.002,75.562,-97.839,116.516
-0.937,0.158,1.023,89.722,-79.773,89.661
-0.765,0.159,1.076,106.995,-81.604,52.124
-0.618,0.163,1.190,104.797,-106.201,27.344
-0.517,0.112,1.287,84.229,-130.859,18.738
-0.459,0.072,1.356,63.843,-137.512,16.846
-0.425,0.055,1.385,53.772,-117.432,18.616
-0.373,0.037,1.407,52.490,-77.454,24.719
-0.378,0.018,1.354,52.063,-36.865,34.668
-0.429,-0.026,1.293,48.462,-10.498,44.250
-0.471,-0.031,1.231,41.199,-4.333,47.363
-0.500,-0.013,1.182,33.752,-9.216,40.894
-0.488,0.006,1.161,28.320,-14.221,29.236
-0.456,0.033,1.162,24.048,-13.733,15.686
-0.374,0.044,1.138,24.353,-9.155,5.249
-0.302,0.049,1.131,21.423,-3.479,0.122
-0.233,0.053,1.119,16.785,3.845,-0.427
-0.189,0.064,1.129,12.878,13.977,1.282
-0.184,0.073,1.125,11.536,26.184,4.578
-0.197,0.072,1.104,11.963,36.987,8.118
-0.207,0.089,1.048,10.864,41.809,9.094
-0.208,0.084,1.001,8.240,40.344,5.981
-0.183,0.072,0.972,4.578,34.180,0.916
-0.129,0.072,0.944,3.845,24.902,-4.028
-0.084,0.074,0.934,4.944,17.273,-8.118
-0.026,0.079,0.941,5.371,14.160,-10.498
0.022,0.069,0.949,4.211,12.939,-10.193
0.053,0.058,0.956,2.075,12.146,-5.737
0.045,0.053,0.956,0.305,12.939,0.122
0.004,0.049,0.968,0.427,16.357,6.409
-0.040,0.049,0.959,2.319,19.958,9.766
-0.086,0.049,0.968,4.761,21.179,10.376
-0.110,0.053,0.974,5.554,16.357,8.972
-0.124,0.051,0.982,4.395,7.324,5.981
-0.119,0.061,0.993,4.089,-1.770,2.686
-0.109,0.072,1.016,5.371,-7.202,-0.183
-0.094,0.070,1.048,6.531,-8.606,-1.282
-0.092,0.065,1.090,6.287,-7.324,-0.305
-0.091,0.062,1.100,5.310,-6.042,2.014
-0.108,0.058,1.102,2.930,-5.127,5.920
-0.130,0.060,1.097,-0.244,-3.845,8.545
-0.147,0.052,1.082,-3.540,-1.953,9.705
-0.163,0.031,1.067,-5.554,0.366,9.338
-0.173,0.027,1.055,-4.395,1.892,6.592
-0.180,0.013,1.062,-1.404,3.723,3.357
-0.179,0.006,1.069,0.977,5.066,0.610
-0.167,0.015,1.076,3.174,6.226,-1.587
-0.162,0.012,1.092,3.906,8.118,-2.197
-0.149,0.015,1.086,2.197,8.728,-2.380
-0.138,0.014,1.064,-0.549,6.104,-2.380
-0.136,0.009,1.051,-3.967,3.357,-2.075
-0.129,0.004,1.038,-6.470,1.404,-1.404
-0.126,0.001,1.014,-6.897,-1.038,0.061
-0.125,-0.000,1.001,-6.226,-2.258,0.916
-0.121,-0.000,1.008,-4.272,-1.404,1.770
-0.122,0.003,1.000,-1.282,0.916,2.197
-0.118,0.013,1.001,1.770,4.639,1.953
-0.123,0.021,1.007,3.479,7.324,2.075
-0.126,0.033,1.010,3.662,7.141,1.953
-0.127,0.046,1.017,2.319,6.287,1.587
-0.126,0.046,1.023,0.732,5.371,1.160
-0.125,0.045,1.019,-1.404,3.235,0.549
-0.118,0.041,1.005,-3.357,1.038,1.343
-0.117,0.038,1.001,-3.967,-0.549,3.052
-0.122,0.042,1.000,-2.319,-0.488,4.395
-0.125,0.037,1.001,0.366,0.427,4.700
-0.140,0.039,1.015,2.563,1.465,4.700
-0.160,0.051,1.037,5.371,2.747,3.784
-0.170,0.059,1.055,6.470,4.272,1.526
-0.169,0.052,1.053,5.005,3.296,-1.221
-0.166,0.054,1.055,2.014,0.610,-2.930
-0.155,0.042,1.049,-0.366,-1.526,-4.272
-0.134,0.030,1.048,-2.319,-2.197,-5.127
-0.119,0.021,1.051,-2.197,-2.014,-4.456
-0.110,0.019,1.055,-1.160,-0.183,-2.441
-0.111,0.015,1.059,-0.183,2.258,-0.488
-0.126,0.016,1.062,0.427,4.578,0.977
-0.134,0.016,1.055,0.671,5.859,1.038
-0.136,0.014,1.043,-0.122,4.456,-0.122
-0.135,0.023,1.040,-1.709,1.526,-1.709
-0.122,0.023,1.030,-3.235,-1.587,-2.563
-0.112,0.019,1.025,-5.188,-4.150,-3.296
-0.105,0.017,1.013,-5.554,-4.944,-3.967
-0.093,0.007,1.004,-4.150,-3.784,-3.418
-0.098,0.007,1.008,-1.465,-1.587,-2.258
-0.098,0.016,1.013,1.160,0.854,-0.977
-0.099,0.020,1.017,2.014,2.930,0.916
-0.103,0.023,1.019,1.465,4.028,2.075
-0.104,0.022,1.011,-0.305,3.784,2.869
-0.105,0.025,1.000,-1.709,1.770,3.601
-0.110,0.026,0.995,-2.441,0.000,4.028
-0.124,0.030,0.999,-2.441,-0.549,4.150
-0.138,0.028,1.000,-1.953,-0.305,3.845
-0.143,0.023,1.001,-0.732,0.549,3.357
-0.146,0.028,1.001,1.404,1.404,2.625
-0.146,0.025,1.009,3.723,2.380,2.563
-0.147,0.023,1.019,5.127,2.930,2.808
-0.149,0.031,1.027,5.737,2.991,2.563
-0.156,0.039,1.031,5.432,2.869,2.014
-0.158,0.044,1.045,3.784,2.930,1.343
-0.156,0.043,1.047,1.282,2.563,0.671
-0.151,0.040,1.047,-0.916,1.526,0.061
-0.149,0.037,1.043,-2.014,1.404,-0.244
-0.145,0.031,1.037,-1.953,2.502,0.000
-0.141,0.020,1.038,-1.587,3.113,0.366
-0.140,0.015,1.038,-1.160,3.052,0.793
-0.133,0.017,1.032,-0.366,2.136,1.282
-0.135,0.015,1.032,-0.122,1.709,1.892
-0.137,0.013,1.030,0.366,2.441,2.258
-0.136,0.011,1.023,1.343,3.601,2.502
-0.130,0.015,1.021,1.831,4.211,2.380

-1.020,0.252,-1.503,4.150,-99.792,58.777
-1.100,0.210,-1.567,6.897,-147.339,58.350
-1.149,0.188,-1.644,13.550,-197.266,56.885
-1.164,0.176,-1.773,19.287,-264.160,59.937
-1.128,0.146,-1.935,18.616,-354.553,71.045
-1.065,0.095,-2.082,11.536,-470.642,93.384
-0.975,0.004,-2.191,4.761,-608.459,127.502
-0.849,-0.176,-2.290,11.108,-757.935,173.279
-0.819,-0.350,-2.186,46.143,-893.188,229.065
-0.896,-0.528,-1.896,110.168,-999.939,286.377
-1.068,-0.425,-1.640,174.316,-1093.262,332.336
-1.415,-0.178,-1.594,222.290,-1178.955,352.539
-1.805,0.148,-1.547,253.296,-1228.210,333.313
-2.081,0.328,-1.511,286.072,-1226.929,261.230
-2.181,0.256,-1.319,324.158,-1186.401,141.724
-2.159,-0.108,-0.922,368.896,-1125.122,-2.930
-2.007,-0.519,-0.254,407.471,-1066.345,-140.137
-1.786,-0.571,0.305,418.518,-1039.673,-246.094
-1.653,-0.414,0.667,388.611,-1045.044,-312.683
-1.586,-0.265,0.931,323.853,-1050.842,-347.107
-1.286,-0.221,1.239,235.413,-1027.283,-352.173
-0.835,-0.139,1.719,135.437,-969.421,-313.904
-0.301,-0.121,1.768,58.044,-882.019,-252.441
-0.061,-0.101,1.519,23.865,-758.911,-203.552
0.118,-0.182,1.217,17.456,-613.098,-165.588
0.259,-0.292,1.071,7.629,-473.694,-102.966
0.077,-0.256,0.875,-19.104,-381.653,-10.315
-0.521,-0.232,0.603,-46.265,-328.308,83.740
-1.031,-0.238,0.371,-35.828,-265.930,146.301
-1.279,-0.221,0.322,20.630,-187.073,159.363
-1.429,-0.145,0.531,85.083,-121.277,137.390
-1.480,-0.026,0.904,133.728,-85.754,103.149
-1.392,0.038,1.245,144.531,-81.848,65.430
-1.252,0.050,1.398,114.014,-103.210,31.799
-1.129,0.006,1.424,67.810,-126.160,12.939
-0.976,-0.058,1.390,32.043,-128.296,6.409
-0.832,-0.123,1.364,14.160,-105.286,7.141
-0.731,-0.154,1.345,10.925,-65.247,15.625
-0.712,-0.179,1.303,14.587,-22.339,27.771
-0.728,-0.204,1.236,16.357,11.475,38.208
-0.728,-0.203,1.159,14.954,33.691,41.321
-0.720,-0.173,1.067,14.587,47.119,36.255
-0.671,-0.142,1.041,14.771,55.847,27.161
-0.593,-0.111,1.038,9.155,56.335,15.930
-0.503,-0.087,1.016,-4.639,47.302,5.737
-0.420,-0.100,0.991,-18.738,38.696,0.671
-0.348,-0.110,0.949,-27.222,36.621,-1.221
-0.306,-0.092,0.960,-30.029,41.260,-1.221
-0.276,-0.115,0.925,-28.320,45.349,1.221
-0.267,-0.123,0.898,-26.062,45.776,3.723
-0.249,-0.105,0.844,-22.705,42.053,3.113
-0.197,-0.102,0.796,-19.043,36.133,0.793
-0.155,-0.080,0.783,-15.808,29.846,-1.404
-0.122,-0.055,0.808,-10.559,24.597,-1.465
-0.118,-0.048,0.845,-8.789,18.921,0.183
-0.128,-0.057,0.868,-9.949,10.254,1.953
-0.158,-0.065,0.896,-11.780,1.953,4.883
-0.200,-0.060,0.937,-11.353,-2.380,8.423
-0.250,-0.059,0.988,-10.132,-3.418,9.949
-0.278,-0.072,1.007,-10.010,-6.714,9.094
-0.305,-0.067,1.013,-10.925,-13.306,7.263
-0.320,-0.061,1.011,-10.559,-19.165,6.409
-0.341,-0.040,1.042,-8.728,-20.508,5.737
-0.356,-0.024,1.068,-6.775,-18.799,4.150
-0.372,-0.031,1.082,-6.958,-17.456,3.235
-0.386,-0.037,1.083,-7.935,-17.090,3.784
-0.399,-0.038,1.090,-7.690,-15.137,3.784
-0.396,-0.036,1.107,-7.202,-11.353,2.441
-0.374,-0.042,1.111,-7.202,-7.507,1.221
-0.367,-0.044,1.108,-8.667,-5.676,1.282
