aX,aY,aZ,gX,gY,gZ
-0.240,1.915,1.125,16.235,3.784,-47.180
-0.296,2.487,1.203,22.034,17.578,-46.265
-0.363,3.061,1.319,31.982,34.607,-40.527
-0.541,3.541,1.456,45.227,54.077,-37.231
-0.775,3.748,1.691,57.251,76.843,-41.931
-1.009,3.796,1.921,60.547,92.896,-58.472
-1.200,3.844,2.049,52.063,100.037,-84.351
-1.270,3.569,2.088,42.053,105.347,-117.310
-1.308,2.965,1.973,22.766,109.314,-155.457
-1.250,2.195,1.623,-3.784,112.244,-192.810
-1.267,0.985,1.126,-39.307,115.417,-218.750
-1.378,-0.514,0.473,-89.905,102.844,-234.253
-1.537,-2.415,-0.587,-136.047,61.462,-248.840
-1.127,-4.000,-1.464,-135.071,1.038,-272.827
-0.216,-4.000,-1.654,-58.777,-57.983,-302.002
0.695,-4.000,-0.621,119.812,-61.279,-312.134
2.215,-4.000,0.605,278.625,-28.687,-303.467
2.977,-4.000,1.792,275.818,-55.664,-255.432
2.753,-3.692,2.518,190.918,-84.045,-137.634
1.674,-2.613,2.434,101.013,-29.297,-6.104
0.789,-2.052,2.095,42.786,79.346,78.430
0.054,-1.411,1.472,-1.709,138.916,115.845
-0.770,-0.703,0.701,-43.823,120.422,143.555
-1.536,-0.146,0.176,-66.589,72.998,162.781
-1.834,0.134,0.149,-52.490,39.978,143.921
-1.569,0.149,0.471,-14.465,20.508,87.708
-1.094,0.142,0.887,7.263,-7.812,39.001
-0.667,0.070,1.091,1.526,-38.635,12.695
-0.290,-0.070,1.137,-4.944,-38.879,-4.700
-0.020,-0.249,1.129,-2.319,-10.742,-10.742
0.151,-0.380,1.099,2.197,16.418,-4.639
0.282,-0.478,1.031,3.235,28.076,1.892
0.403,-0.513,1.023,2.747,30.640,5.981
0.433,-0.477,1.026,3.174,28.015,11.414
0.357,-0.391,1.058,1.831,21.484,20.264
0.255,-0.289,1.067,-1.221,14.648,25.452
0.144,-0.157,1.053,-3.235,13.733,25.696
0.060,-0.075,1.032,-1.526,20.935,25.391
0.054,-0.018,1.015,-0.916,30.212,23.010
0.058,0.008,0.964,-3.967,32.227,18.982
0.101,0.006,0.903,-6.226,27.039,13.977
0.165,-0.010,0.878,-7.141,15.564,7.324
0.229,-0.031,0.890,-9.277,0.244,0.610
0.259,-0.055,0.916,-10.132,-14.221,-2.808
0.293,-0.088,0.975,-9.155,-24.353,-4.883
0.324,-0.094,1.005,-6.958,-28.870,-5.859
0.330,-0.114,1.049,-5.310,-26.978,-4.761
0.334,-0.131,1.092,-4.272,-20.874,-0.977
0.357,-0.154,1.087,-4.700,-12.939,3.662
0.385,-0.180,1.008,-6.348,-3.723,7.202
0.403,-0.218,0.899,-6.165,2.625,9.705
0.358,-0.216,0.831,-2.991,2.869,12.512
0.331,-0.206,0.815,-0.854,-7.202,14.038
0.296,-0.217,0.806,-5.615,-28.931,14.160
0.257,-0.224,0.842,-10.010,-50.659,12.329
0.219,-0.252,0.956,-7.324,-61.462,11.719
0.174,-0.274,1.095,-1.831,-59.937,11.353
0.163,-0.287,1.158,0.427,-49.927,10.559
0.197,-0.302,1.168,-2.075,-36.133,11.414
0.225,-0.337,1.095,-7.690,-22.522,15.442
0.250,-0.372,1.016,-11.353,-11.841,23.743
0.244,-0.379,0.992,-14.160,-8.484,37.048
0.208,-0.377,0.979,-21.118,-16.724,49.744
0.158,-0.368,0.990,-30.762,-30.457,55.420
0.114,-0.357,1.036,-37.964,-39.917,56.885
0.065,-0.322,1.079,-43.335,-42.236,56.763
0.007,-0.262,1.067,-43.152,-37.048,54.993
-0.036,-0.199,1.037,-36.926,-22.949,51.941
-0.051,-0.176,1.030,-29.053,-5.493,50.049
-0.063,-0.120,1.043,-22.034,6.409,47.546
-0.047,-0.076,1.048,-18.555,10.559,43.579
0.005,-0.068,1.022,-20.142,5.493,40.649
0.058,-0.083,1.001,-24.048,-2.808,38.452
0.086,-0.090,1.000,-27.954,-9.399,36.682
0.103,-0.054,1.001,-29.602,-11.047,35.400
0.120,-0.031,0.997,-29.968,-7.446,34.729
0.123,-0.035,0.986,-28.442,-0.366,34.790
0.135,-0.021,0.948,-23.132,7.996,34.973
